Enrollment
10/12/2024

Year,Level,Division,Grade,Count
"2023 - 2024",DIV,"King George County Public Schools",,4544
"2023 - 2024",DIV,"King George County Public Schools",PK,118
"2023 - 2024",DIV,"King George County Public Schools",KG,261
"2023 - 2024",DIV,"King George County Public Schools",01,294
"2023 - 2024",DIV,"King George County Public Schools",02,318
"2023 - 2024",DIV,"King George County Public Schools",03,343
"2023 - 2024",DIV,"King George County Public Schools",04,332
"2023 - 2024",DIV,"King George County Public Schools",05,327
"2023 - 2024",DIV,"King George County Public Schools",06,373
"2023 - 2024",DIV,"King George County Public Schools",07,366
"2023 - 2024",DIV,"King George County Public Schools",08,318
"2023 - 2024",DIV,"King George County Public Schools",09,388
"2023 - 2024",DIV,"King George County Public Schools",10,413
"2023 - 2024",DIV,"King George County Public Schools",11,346
"2023 - 2024",DIV,"King George County Public Schools",12,347
"2023 - 2024",DIV,"King William County Public Schools",,2106
"2023 - 2024",DIV,"King William County Public Schools",PK,48
"2023 - 2024",DIV,"King William County Public Schools",KG,159
"2023 - 2024",DIV,"King William County Public Schools",01,150
"2023 - 2024",DIV,"King William County Public Schools",02,158
"2023 - 2024",DIV,"King William County Public Schools",03,157
"2023 - 2024",DIV,"King William County Public Schools",04,150
"2023 - 2024",DIV,"King William County Public Schools",05,143
"2023 - 2024",DIV,"King William County Public Schools",06,144
"2023 - 2024",DIV,"King William County Public Schools",07,151
"2023 - 2024",DIV,"King William County Public Schools",08,168
"2023 - 2024",DIV,"King William County Public Schools",09,165
"2023 - 2024",DIV,"King William County Public Schools",10,189
"2023 - 2024",DIV,"King William County Public Schools",11,170
"2023 - 2024",DIV,"King William County Public Schools",12,154
"2023 - 2024",DIV,"King and Queen County Public Schools",,855
"2023 - 2024",DIV,"King and Queen County Public Schools",PK,58
"2023 - 2024",DIV,"King and Queen County Public Schools",KG,47
"2023 - 2024",DIV,"King and Queen County Public Schools",01,70
"2023 - 2024",DIV,"King and Queen County Public Schools",02,104
"2023 - 2024",DIV,"King and Queen County Public Schools",03,42
"2023 - 2024",DIV,"King and Queen County Public Schools",04,144
"2023 - 2024",DIV,"King and Queen County Public Schools",05,56
"2023 - 2024",DIV,"King and Queen County Public Schools",06,63
"2023 - 2024",DIV,"King and Queen County Public Schools",07,35
"2023 - 2024",DIV,"King and Queen County Public Schools",08,49
"2023 - 2024",DIV,"King and Queen County Public Schools",09,46
"2023 - 2024",DIV,"King and Queen County Public Schools",10,48
"2023 - 2024",DIV,"King and Queen County Public Schools",11,62
"2023 - 2024",DIV,"King and Queen County Public Schools",12,31
"2023 - 2024",DIV,"Lancaster County Public Schools",,1020
"2023 - 2024",DIV,"Lancaster County Public Schools",PK,71
"2023 - 2024",DIV,"Lancaster County Public Schools",KG,64
"2023 - 2024",DIV,"Lancaster County Public Schools",01,63
"2023 - 2024",DIV,"Lancaster County Public Schools",02,64
"2023 - 2024",DIV,"Lancaster County Public Schools",03,73
"2023 - 2024",DIV,"Lancaster County Public Schools",04,65
"2023 - 2024",DIV,"Lancaster County Public Schools",05,54
"2023 - 2024",DIV,"Lancaster County Public Schools",06,81
"2023 - 2024",DIV,"Lancaster County Public Schools",07,77
"2023 - 2024",DIV,"Lancaster County Public Schools",08,84
"2023 - 2024",DIV,"Lancaster County Public Schools",09,75
"2023 - 2024",DIV,"Lancaster County Public Schools",10,80
"2023 - 2024",DIV,"Lancaster County Public Schools",11,106
"2023 - 2024",DIV,"Lancaster County Public Schools",12,63
"2023 - 2024",DIV,"Lee County Public Schools",,2971
"2023 - 2024",DIV,"Lee County Public Schools",PK,206
"2023 - 2024",DIV,"Lee County Public Schools",KG,200
"2023 - 2024",DIV,"Lee County Public Schools",01,218
"2023 - 2024",DIV,"Lee County Public Schools",02,209
"2023 - 2024",DIV,"Lee County Public Schools",03,218
"2023 - 2024",DIV,"Lee County Public Schools",04,198
"2023 - 2024",DIV,"Lee County Public Schools",05,208
"2023 - 2024",DIV,"Lee County Public Schools",06,226
"2023 - 2024",DIV,"Lee County Public Schools",07,228
"2023 - 2024",DIV,"Lee County Public Schools",08,236
"2023 - 2024",DIV,"Lee County Public Schools",09,249
"2023 - 2024",DIV,"Lee County Public Schools",10,211
"2023 - 2024",DIV,"Lee County Public Schools",11,191
"2023 - 2024",DIV,"Lee County Public Schools",12,173
"2023 - 2024",DIV,"Lexington City Public Schools",,511
"2023 - 2024",DIV,"Lexington City Public Schools",PK,1
"2023 - 2024",DIV,"Lexington City Public Schools",KG,51
"2023 - 2024",DIV,"Lexington City Public Schools",01,53
"2023 - 2024",DIV,"Lexington City Public Schools",02,54
"2023 - 2024",DIV,"Lexington City Public Schools",03,55
"2023 - 2024",DIV,"Lexington City Public Schools",04,61
"2023 - 2024",DIV,"Lexington City Public Schools",05,53
"2023 - 2024",DIV,"Lexington City Public Schools",06,67
"2023 - 2024",DIV,"Lexington City Public Schools",07,67
"2023 - 2024",DIV,"Lexington City Public Schools",08,47
"2023 - 2024",DIV,"Lexington City Public Schools",10,1
"2023 - 2024",DIV,"Lexington City Public Schools",11,1
"2023 - 2024",DIV,"Loudoun County Public Schools",,82028
"2023 - 2024",DIV,"Loudoun County Public Schools",PK,919
"2023 - 2024",DIV,"Loudoun County Public Schools",KG,5056
"2023 - 2024",DIV,"Loudoun County Public Schools",01,5467
"2023 - 2024",DIV,"Loudoun County Public Schools",02,5857
"2023 - 2024",DIV,"Loudoun County Public Schools",03,5803
"2023 - 2024",DIV,"Loudoun County Public Schools",04,6065
"2023 - 2024",DIV,"Loudoun County Public Schools",05,5938
"2023 - 2024",DIV,"Loudoun County Public Schools",06,6330
"2023 - 2024",DIV,"Loudoun County Public Schools",07,6340
"2023 - 2024",DIV,"Loudoun County Public Schools",08,6498
"2023 - 2024",DIV,"Loudoun County Public Schools",09,6864
"2023 - 2024",DIV,"Loudoun County Public Schools",10,7054
"2023 - 2024",DIV,"Loudoun County Public Schools",11,7032
"2023 - 2024",DIV,"Loudoun County Public Schools",12,6805
"2023 - 2024",DIV,"Louisa County Public Schools",,5211
"2023 - 2024",DIV,"Louisa County Public Schools",PK,165
"2023 - 2024",DIV,"Louisa County Public Schools",KG,383
"2023 - 2024",DIV,"Louisa County Public Schools",01,378
"2023 - 2024",DIV,"Louisa County Public Schools",02,402
"2023 - 2024",DIV,"Louisa County Public Schools",03,371
"2023 - 2024",DIV,"Louisa County Public Schools",04,343
"2023 - 2024",DIV,"Louisa County Public Schools",05,384
"2023 - 2024",DIV,"Louisa County Public Schools",06,395
"2023 - 2024",DIV,"Louisa County Public Schools",07,383
"2023 - 2024",DIV,"Louisa County Public Schools",08,390
"2023 - 2024",DIV,"Louisa County Public Schools",09,405
"2023 - 2024",DIV,"Louisa County Public Schools",10,421
"2023 - 2024",DIV,"Louisa County Public Schools",11,394
"2023 - 2024",DIV,"Louisa County Public Schools",12,397
"2023 - 2024",DIV,"Lunenburg County Public Schools",,1582
"2023 - 2024",DIV,"Lunenburg County Public Schools",PK,71
"2023 - 2024",DIV,"Lunenburg County Public Schools",KG,115
"2023 - 2024",DIV,"Lunenburg County Public Schools",01,124
"2023 - 2024",DIV,"Lunenburg County Public Schools",02,130
"2023 - 2024",DIV,"Lunenburg County Public Schools",03,119
"2023 - 2024",DIV,"Lunenburg County Public Schools",04,99
"2023 - 2024",DIV,"Lunenburg County Public Schools",05,101
"2023 - 2024",DIV,"Lunenburg County Public Schools",06,114
"2023 - 2024",DIV,"Lunenburg County Public Schools",07,112
"2023 - 2024",DIV,"Lunenburg County Public Schools",08,107
"2023 - 2024",DIV,"Lunenburg County Public Schools",09,125
"2023 - 2024",DIV,"Lunenburg County Public Schools",10,134
"2023 - 2024",DIV,"Lunenburg County Public Schools",11,106
"2023 - 2024",DIV,"Lunenburg County Public Schools",12,125
"2023 - 2024",DIV,"Lynchburg City Public Schools",,7814
"2023 - 2024",DIV,"Lynchburg City Public Schools",PG,19
"2023 - 2024",DIV,"Lynchburg City Public Schools",PK,350
"2023 - 2024",DIV,"Lynchburg City Public Schools",KG,574
"2023 - 2024",DIV,"Lynchburg City Public Schools",01,627
"2023 - 2024",DIV,"Lynchburg City Public Schools",02,572
"2023 - 2024",DIV,"Lynchburg City Public Schools",03,547
"2023 - 2024",DIV,"Lynchburg City Public Schools",04,586
"2023 - 2024",DIV,"Lynchburg City Public Schools",05,560
"2023 - 2024",DIV,"Lynchburg City Public Schools",06,546
"2023 - 2024",DIV,"Lynchburg City Public Schools",07,540
"2023 - 2024",DIV,"Lynchburg City Public Schools",08,556
"2023 - 2024",DIV,"Lynchburg City Public Schools",09,657
"2023 - 2024",DIV,"Lynchburg City Public Schools",10,594
"2023 - 2024",DIV,"Lynchburg City Public Schools",11,576
"2023 - 2024",DIV,"Lynchburg City Public Schools",12,510
"2023 - 2024",DIV,"Madison County Public Schools",,1671
"2023 - 2024",DIV,"Madison County Public Schools",PK,52
"2023 - 2024",DIV,"Madison County Public Schools",KG,98
"2023 - 2024",DIV,"Madison County Public Schools",01,110
"2023 - 2024",DIV,"Madison County Public Schools",02,121
"2023 - 2024",DIV,"Madison County Public Schools",03,125
"2023 - 2024",DIV,"Madison County Public Schools",04,109
"2023 - 2024",DIV,"Madison County Public Schools",05,112
"2023 - 2024",DIV,"Madison County Public Schools",06,124
"2023 - 2024",DIV,"Madison County Public Schools",07,138
"2023 - 2024",DIV,"Madison County Public Schools",08,143
"2023 - 2024",DIV,"Madison County Public Schools",09,138
"2023 - 2024",DIV,"Madison County Public Schools",10,139
"2023 - 2024",DIV,"Madison County Public Schools",11,130
"2023 - 2024",DIV,"Madison County Public Schools",12,132
"2023 - 2024",DIV,"Manassas City Public Schools",,7676
"2023 - 2024",DIV,"Manassas City Public Schools",PK,324
"2023 - 2024",DIV,"Manassas City Public Schools",KG,528
"2023 - 2024",DIV,"Manassas City Public Schools",01,592
"2023 - 2024",DIV,"Manassas City Public Schools",02,570
"2023 - 2024",DIV,"Manassas City Public Schools",03,597
"2023 - 2024",DIV,"Manassas City Public Schools",04,541
"2023 - 2024",DIV,"Manassas City Public Schools",05,542
"2023 - 2024",DIV,"Manassas City Public Schools",06,571
"2023 - 2024",DIV,"Manassas City Public Schools",07,520
"2023 - 2024",DIV,"Manassas City Public Schools",08,556
"2023 - 2024",DIV,"Manassas City Public Schools",09,610
"2023 - 2024",DIV,"Manassas City Public Schools",10,594
"2023 - 2024",DIV,"Manassas City Public Schools",11,560
"2023 - 2024",DIV,"Manassas City Public Schools",12,571
"2023 - 2024",DIV,"Manassas Park City Public Schools",,3410
"2023 - 2024",DIV,"Manassas Park City Public Schools",PK,141
"2023 - 2024",DIV,"Manassas Park City Public Schools",KG,234
"2023 - 2024",DIV,"Manassas Park City Public Schools",01,238
"2023 - 2024",DIV,"Manassas Park City Public Schools",02,215
"2023 - 2024",DIV,"Manassas Park City Public Schools",03,235
"2023 - 2024",DIV,"Manassas Park City Public Schools",04,231
"2023 - 2024",DIV,"Manassas Park City Public Schools",05,229
"2023 - 2024",DIV,"Manassas Park City Public Schools",06,267
"2023 - 2024",DIV,"Manassas Park City Public Schools",07,251
"2023 - 2024",DIV,"Manassas Park City Public Schools",08,241
"2023 - 2024",DIV,"Manassas Park City Public Schools",09,302
"2023 - 2024",DIV,"Manassas Park City Public Schools",10,306
"2023 - 2024",DIV,"Manassas Park City Public Schools",11,258
"2023 - 2024",DIV,"Manassas Park City Public Schools",12,262
"2023 - 2024",DIV,"Martinsville City Public Schools",,1807
"2023 - 2024",DIV,"Martinsville City Public Schools",PK,114
"2023 - 2024",DIV,"Martinsville City Public Schools",KG,123
"2023 - 2024",DIV,"Martinsville City Public Schools",01,116
"2023 - 2024",DIV,"Martinsville City Public Schools",02,137
"2023 - 2024",DIV,"Martinsville City Public Schools",03,129
"2023 - 2024",DIV,"Martinsville City Public Schools",04,121
"2023 - 2024",DIV,"Martinsville City Public Schools",05,120
"2023 - 2024",DIV,"Martinsville City Public Schools",06,121
"2023 - 2024",DIV,"Martinsville City Public Schools",07,135
"2023 - 2024",DIV,"Martinsville City Public Schools",08,133
"2023 - 2024",DIV,"Martinsville City Public Schools",09,142
"2023 - 2024",DIV,"Martinsville City Public Schools",10,144
"2023 - 2024",DIV,"Martinsville City Public Schools",11,147
"2023 - 2024",DIV,"Martinsville City Public Schools",12,125
"2023 - 2024",DIV,"Mathews County Public Schools",,841
"2023 - 2024",DIV,"Mathews County Public Schools",PK,27
"2023 - 2024",DIV,"Mathews County Public Schools",KG,51
"2023 - 2024",DIV,"Mathews County Public Schools",01,44
"2023 - 2024",DIV,"Mathews County Public Schools",02,64
"2023 - 2024",DIV,"Mathews County Public Schools",03,57
"2023 - 2024",DIV,"Mathews County Public Schools",04,55
"2023 - 2024",DIV,"Mathews County Public Schools",05,66
"2023 - 2024",DIV,"Mathews County Public Schools",06,58
"2023 - 2024",DIV,"Mathews County Public Schools",07,61
"2023 - 2024",DIV,"Mathews County Public Schools",08,60
"2023 - 2024",DIV,"Mathews County Public Schools",09,78
"2023 - 2024",DIV,"Mathews County Public Schools",10,78
"2023 - 2024",DIV,"Mathews County Public Schools",11,77
"2023 - 2024",DIV,"Mathews County Public Schools",12,65
"2023 - 2024",DIV,"Mecklenburg County Public Schools",,3938
"2023 - 2024",DIV,"Mecklenburg County Public Schools",PK,213
"2023 - 2024",DIV,"Mecklenburg County Public Schools",KG,295
"2023 - 2024",DIV,"Mecklenburg County Public Schools",01,326
"2023 - 2024",DIV,"Mecklenburg County Public Schools",02,285
"2023 - 2024",DIV,"Mecklenburg County Public Schools",03,288
"2023 - 2024",DIV,"Mecklenburg County Public Schools",04,272
"2023 - 2024",DIV,"Mecklenburg County Public Schools",05,287
"2023 - 2024",DIV,"Mecklenburg County Public Schools",06,253
"2023 - 2024",DIV,"Mecklenburg County Public Schools",07,278
"2023 - 2024",DIV,"Mecklenburg County Public Schools",08,285
"2023 - 2024",DIV,"Mecklenburg County Public Schools",09,330
"2023 - 2024",DIV,"Mecklenburg County Public Schools",10,293
"2023 - 2024",DIV,"Mecklenburg County Public Schools",11,257
"2023 - 2024",DIV,"Mecklenburg County Public Schools",12,276
"2023 - 2024",DIV,"Middlesex County Public Schools",,1226
"2023 - 2024",DIV,"Middlesex County Public Schools",PK,64
"2023 - 2024",DIV,"Middlesex County Public Schools",KG,83
"2023 - 2024",DIV,"Middlesex County Public Schools",01,94
"2023 - 2024",DIV,"Middlesex County Public Schools",02,92
"2023 - 2024",DIV,"Middlesex County Public Schools",03,96
"2023 - 2024",DIV,"Middlesex County Public Schools",04,95
"2023 - 2024",DIV,"Middlesex County Public Schools",05,76
"2023 - 2024",DIV,"Middlesex County Public Schools",06,91
"2023 - 2024",DIV,"Middlesex County Public Schools",07,87
"2023 - 2024",DIV,"Middlesex County Public Schools",08,92
"2023 - 2024",DIV,"Middlesex County Public Schools",09,108
"2023 - 2024",DIV,"Middlesex County Public Schools",10,92
"2023 - 2024",DIV,"Middlesex County Public Schools",11,79
"2023 - 2024",DIV,"Middlesex County Public Schools",12,77
"2023 - 2024",DIV,"Montgomery County Public Schools",,9591
"2023 - 2024",DIV,"Montgomery County Public Schools",PK,211
"2023 - 2024",DIV,"Montgomery County Public Schools",KG,633
"2023 - 2024",DIV,"Montgomery County Public Schools",01,635
"2023 - 2024",DIV,"Montgomery County Public Schools",02,678
"2023 - 2024",DIV,"Montgomery County Public Schools",03,733
"2023 - 2024",DIV,"Montgomery County Public Schools",04,673
"2023 - 2024",DIV,"Montgomery County Public Schools",05,716
"2023 - 2024",DIV,"Montgomery County Public Schools",06,777
"2023 - 2024",DIV,"Montgomery County Public Schools",07,749
"2023 - 2024",DIV,"Montgomery County Public Schools",08,752
"2023 - 2024",DIV,"Montgomery County Public Schools",09,763
"2023 - 2024",DIV,"Montgomery County Public Schools",10,789
"2023 - 2024",DIV,"Montgomery County Public Schools",11,803
"2023 - 2024",DIV,"Montgomery County Public Schools",12,679
"2023 - 2024",DIV,"Nelson County Public Schools",,1495
"2023 - 2024",DIV,"Nelson County Public Schools",PK,48
"2023 - 2024",DIV,"Nelson County Public Schools",KG,113
"2023 - 2024",DIV,"Nelson County Public Schools",01,111
"2023 - 2024",DIV,"Nelson County Public Schools",02,93
"2023 - 2024",DIV,"Nelson County Public Schools",03,97
"2023 - 2024",DIV,"Nelson County Public Schools",04,99
"2023 - 2024",DIV,"Nelson County Public Schools",05,90
"2023 - 2024",DIV,"Nelson County Public Schools",06,124
"2023 - 2024",DIV,"Nelson County Public Schools",07,113
"2023 - 2024",DIV,"Nelson County Public Schools",08,122
"2023 - 2024",DIV,"Nelson County Public Schools",09,131
"2023 - 2024",DIV,"Nelson County Public Schools",10,134
"2023 - 2024",DIV,"Nelson County Public Schools",11,111
"2023 - 2024",DIV,"Nelson County Public Schools",12,109
"2023 - 2024",DIV,"New Kent County Public Schools",,3536
"2023 - 2024",DIV,"New Kent County Public Schools",PK,84
"2023 - 2024",DIV,"New Kent County Public Schools",KG,237
"2023 - 2024",DIV,"New Kent County Public Schools",01,242
"2023 - 2024",DIV,"New Kent County Public Schools",02,300
"2023 - 2024",DIV,"New Kent County Public Schools",03,252
"2023 - 2024",DIV,"New Kent County Public Schools",04,242
"2023 - 2024",DIV,"New Kent County Public Schools",05,241
"2023 - 2024",DIV,"New Kent County Public Schools",06,299
"2023 - 2024",DIV,"New Kent County Public Schools",07,271
"2023 - 2024",DIV,"New Kent County Public Schools",08,252
"2023 - 2024",DIV,"New Kent County Public Schools",09,309
"2023 - 2024",DIV,"New Kent County Public Schools",10,273
"2023 - 2024",DIV,"New Kent County Public Schools",11,252
"2023 - 2024",DIV,"New Kent County Public Schools",12,282
"2023 - 2024",DIV,"Newport News City Public Schools",,26219
"2023 - 2024",DIV,"Newport News City Public Schools",PK,973
"2023 - 2024",DIV,"Newport News City Public Schools",KG,1897
"2023 - 2024",DIV,"Newport News City Public Schools",01,1985
"2023 - 2024",DIV,"Newport News City Public Schools",02,2025
"2023 - 2024",DIV,"Newport News City Public Schools",03,1921
"2023 - 2024",DIV,"Newport News City Public Schools",04,2014
"2023 - 2024",DIV,"Newport News City Public Schools",05,1953
"2023 - 2024",DIV,"Newport News City Public Schools",06,1899
"2023 - 2024",DIV,"Newport News City Public Schools",07,1875
"2023 - 2024",DIV,"Newport News City Public Schools",08,1922
"2023 - 2024",DIV,"Newport News City Public Schools",09,2266
"2023 - 2024",DIV,"Newport News City Public Schools",10,2069
"2023 - 2024",DIV,"Newport News City Public Schools",11,1800
"2023 - 2024",DIV,"Newport News City Public Schools",12,1620
"2023 - 2024",DIV,"Norfolk City Public Schools",,26904
"2023 - 2024",DIV,"Norfolk City Public Schools",PG,20
"2023 - 2024",DIV,"Norfolk City Public Schools",PK,1585
"2023 - 2024",DIV,"Norfolk City Public Schools",KG,2094
"2023 - 2024",DIV,"Norfolk City Public Schools",01,2185
"2023 - 2024",DIV,"Norfolk City Public Schools",02,2162
"2023 - 2024",DIV,"Norfolk City Public Schools",03,2065
"2023 - 2024",DIV,"Norfolk City Public Schools",04,1887
"2023 - 2024",DIV,"Norfolk City Public Schools",05,1946
"2023 - 2024",DIV,"Norfolk City Public Schools",06,1853
"2023 - 2024",DIV,"Norfolk City Public Schools",07,1877
"2023 - 2024",DIV,"Norfolk City Public Schools",08,1730
"2023 - 2024",DIV,"Norfolk City Public Schools",09,2444
"2023 - 2024",DIV,"Norfolk City Public Schools",10,2169
"2023 - 2024",DIV,"Norfolk City Public Schools",11,1366
"2023 - 2024",DIV,"Norfolk City Public Schools",12,1521
"2023 - 2024",DIV,"Northampton County Public Schools",,1334
"2023 - 2024",DIV,"Northampton County Public Schools",PK,55
"2023 - 2024",DIV,"Northampton County Public Schools",KG,95
"2023 - 2024",DIV,"Northampton County Public Schools",01,93
"2023 - 2024",DIV,"Northampton County Public Schools",02,80
"2023 - 2024",DIV,"Northampton County Public Schools",03,93
"2023 - 2024",DIV,"Northampton County Public Schools",04,102
"2023 - 2024",DIV,"Northampton County Public Schools",05,91
"2023 - 2024",DIV,"Northampton County Public Schools",06,84
"2023 - 2024",DIV,"Northampton County Public Schools",07,116
"2023 - 2024",DIV,"Northampton County Public Schools",08,105
"2023 - 2024",DIV,"Northampton County Public Schools",09,98
"2023 - 2024",DIV,"Northampton County Public Schools",10,114
"2023 - 2024",DIV,"Northampton County Public Schools",11,98
"2023 - 2024",DIV,"Northampton County Public Schools",12,110
"2023 - 2024",DIV,"Northumberland County Public Schools",,1163
"2023 - 2024",DIV,"Northumberland County Public Schools",PK,47
"2023 - 2024",DIV,"Northumberland County Public Schools",KG,82
"2023 - 2024",DIV,"Northumberland County Public Schools",01,86
"2023 - 2024",DIV,"Northumberland County Public Schools",02,73
"2023 - 2024",DIV,"Northumberland County Public Schools",03,71
"2023 - 2024",DIV,"Northumberland County Public Schools",04,77
"2023 - 2024",DIV,"Northumberland County Public Schools",05,97
"2023 - 2024",DIV,"Northumberland County Public Schools",06,72
"2023 - 2024",DIV,"Northumberland County Public Schools",07,93
"2023 - 2024",DIV,"Northumberland County Public Schools",08,86
"2023 - 2024",DIV,"Northumberland County Public Schools",09,93
"2023 - 2024",DIV,"Northumberland County Public Schools",10,105
"2023 - 2024",DIV,"Northumberland County Public Schools",11,87
"2023 - 2024",DIV,"Northumberland County Public Schools",12,94
"2023 - 2024",DIV,"Norton City Public Schools",,807
"2023 - 2024",DIV,"Norton City Public Schools",PK,33
"2023 - 2024",DIV,"Norton City Public Schools",KG,62
"2023 - 2024",DIV,"Norton City Public Schools",01,53
"2023 - 2024",DIV,"Norton City Public Schools",02,64
"2023 - 2024",DIV,"Norton City Public Schools",03,53
"2023 - 2024",DIV,"Norton City Public Schools",04,60
"2023 - 2024",DIV,"Norton City Public Schools",05,63
"2023 - 2024",DIV,"Norton City Public Schools",06,56
"2023 - 2024",DIV,"Norton City Public Schools",07,47
"2023 - 2024",DIV,"Norton City Public Schools",08,66
"2023 - 2024",DIV,"Norton City Public Schools",09,68
"2023 - 2024",DIV,"Norton City Public Schools",10,62
"2023 - 2024",DIV,"Norton City Public Schools",11,70
"2023 - 2024",DIV,"Norton City Public Schools",12,50
"2023 - 2024",DIV,"Nottoway County Public Schools",,1818
"2023 - 2024",DIV,"Nottoway County Public Schools",PK,101
"2023 - 2024",DIV,"Nottoway County Public Schools",KG,130
"2023 - 2024",DIV,"Nottoway County Public Schools",01,119
"2023 - 2024",DIV,"Nottoway County Public Schools",02,135
"2023 - 2024",DIV,"Nottoway County Public Schools",03,130
"2023 - 2024",DIV,"Nottoway County Public Schools",04,134
"2023 - 2024",DIV,"Nottoway County Public Schools",05,147
"2023 - 2024",DIV,"Nottoway County Public Schools",06,137
"2023 - 2024",DIV,"Nottoway County Public Schools",07,127
"2023 - 2024",DIV,"Nottoway County Public Schools",08,121
"2023 - 2024",DIV,"Nottoway County Public Schools",09,157
"2023 - 2024",DIV,"Nottoway County Public Schools",10,133
"2023 - 2024",DIV,"Nottoway County Public Schools",11,142
"2023 - 2024",DIV,"Nottoway County Public Schools",12,105
"2023 - 2024",DIV,"Orange County Public Schools",,5082
"2023 - 2024",DIV,"Orange County Public Schools",PK,208
"2023 - 2024",DIV,"Orange County Public Schools",KG,392
"2023 - 2024",DIV,"Orange County Public Schools",01,406
"2023 - 2024",DIV,"Orange County Public Schools",02,357
"2023 - 2024",DIV,"Orange County Public Schools",03,370
"2023 - 2024",DIV,"Orange County Public Schools",04,374
"2023 - 2024",DIV,"Orange County Public Schools",05,383
"2023 - 2024",DIV,"Orange County Public Schools",06,378
"2023 - 2024",DIV,"Orange County Public Schools",07,396
"2023 - 2024",DIV,"Orange County Public Schools",08,354
"2023 - 2024",DIV,"Orange County Public Schools",09,403
"2023 - 2024",DIV,"Orange County Public Schools",10,379
"2023 - 2024",DIV,"Orange County Public Schools",11,349
"2023 - 2024",DIV,"Orange County Public Schools",12,333
"2023 - 2024",DIV,"Page County Public Schools",,3011
"2023 - 2024",DIV,"Page County Public Schools",PK,111
"2023 - 2024",DIV,"Page County Public Schools",KG,221
"2023 - 2024",DIV,"Page County Public Schools",01,223
"2023 - 2024",DIV,"Page County Public Schools",02,202
"2023 - 2024",DIV,"Page County Public Schools",03,200
"2023 - 2024",DIV,"Page County Public Schools",04,212
"2023 - 2024",DIV,"Page County Public Schools",05,212
"2023 - 2024",DIV,"Page County Public Schools",06,215
"2023 - 2024",DIV,"Page County Public Schools",07,195
"2023 - 2024",DIV,"Page County Public Schools",08,222
"2023 - 2024",DIV,"Page County Public Schools",09,272
"2023 - 2024",DIV,"Page County Public Schools",10,241
"2023 - 2024",DIV,"Page County Public Schools",11,217
"2023 - 2024",DIV,"Page County Public Schools",12,268
"2023 - 2024",DIV,"Patrick County Public Schools",,2379
"2023 - 2024",DIV,"Patrick County Public Schools",PK,95
"2023 - 2024",DIV,"Patrick County Public Schools",KG,185
"2023 - 2024",DIV,"Patrick County Public Schools",01,256
"2023 - 2024",DIV,"Patrick County Public Schools",02,244
"2023 - 2024",DIV,"Patrick County Public Schools",03,164
"2023 - 2024",DIV,"Patrick County Public Schools",04,145
"2023 - 2024",DIV,"Patrick County Public Schools",05,146
"2023 - 2024",DIV,"Patrick County Public Schools",06,144
"2023 - 2024",DIV,"Patrick County Public Schools",07,170
"2023 - 2024",DIV,"Patrick County Public Schools",08,164
"2023 - 2024",DIV,"Patrick County Public Schools",09,148
"2023 - 2024",DIV,"Patrick County Public Schools",10,177
"2023 - 2024",DIV,"Patrick County Public Schools",11,162
"2023 - 2024",DIV,"Patrick County Public Schools",12,179
"2023 - 2024",DIV,"Petersburg City Public Schools",,4464
"2023 - 2024",DIV,"Petersburg City Public Schools",PK,405
"2023 - 2024",DIV,"Petersburg City Public Schools",KG,331
"2023 - 2024",DIV,"Petersburg City Public Schools",01,347
"2023 - 2024",DIV,"Petersburg City Public Schools",02,343
"2023 - 2024",DIV,"Petersburg City Public Schools",03,338
"2023 - 2024",DIV,"Petersburg City Public Schools",04,325
"2023 - 2024",DIV,"Petersburg City Public Schools",05,303
"2023 - 2024",DIV,"Petersburg City Public Schools",06,277
"2023 - 2024",DIV,"Petersburg City Public Schools",07,319
"2023 - 2024",DIV,"Petersburg City Public Schools",08,305
"2023 - 2024",DIV,"Petersburg City Public Schools",09,358
"2023 - 2024",DIV,"Petersburg City Public Schools",10,305
"2023 - 2024",DIV,"Petersburg City Public Schools",11,293
"2023 - 2024",DIV,"Petersburg City Public Schools",12,215
"2023 - 2024",DIV,"Pittsylvania County Public Schools",,7861
"2023 - 2024",DIV,"Pittsylvania County Public Schools",PK,327
"2023 - 2024",DIV,"Pittsylvania County Public Schools",KG,481
"2023 - 2024",DIV,"Pittsylvania County Public Schools",01,522
"2023 - 2024",DIV,"Pittsylvania County Public Schools",02,533
"2023 - 2024",DIV,"Pittsylvania County Public Schools",03,500
"2023 - 2024",DIV,"Pittsylvania County Public Schools",04,503
"2023 - 2024",DIV,"Pittsylvania County Public Schools",05,575
"2023 - 2024",DIV,"Pittsylvania County Public Schools",06,605
"2023 - 2024",DIV,"Pittsylvania County Public Schools",07,623
"2023 - 2024",DIV,"Pittsylvania County Public Schools",08,596
"2023 - 2024",DIV,"Pittsylvania County Public Schools",09,732
"2023 - 2024",DIV,"Pittsylvania County Public Schools",10,670
"2023 - 2024",DIV,"Pittsylvania County Public Schools",11,552
"2023 - 2024",DIV,"Pittsylvania County Public Schools",12,642
"2023 - 2024",DIV,"Poquoson City Public Schools",,2070
"2023 - 2024",DIV,"Poquoson City Public Schools",PK,32
"2023 - 2024",DIV,"Poquoson City Public Schools",KG,122
"2023 - 2024",DIV,"Poquoson City Public Schools",01,153
"2023 - 2024",DIV,"Poquoson City Public Schools",02,155
"2023 - 2024",DIV,"Poquoson City Public Schools",03,160
