Enrollment
10/12/2024

Year,Level,Division,Grade,Count
"2023 - 2024",DIV,"Bedford County Public Schools",,9061
"2023 - 2024",DIV,"Bedford County Public Schools",PK,250
"2023 - 2024",DIV,"Bedford County Public Schools",KG,629
"2023 - 2024",DIV,"Bedford County Public Schools",01,652
"2023 - 2024",DIV,"Bedford County Public Schools",02,680
"2023 - 2024",DIV,"Bedford County Public Schools",03,599
"2023 - 2024",DIV,"Bedford County Public Schools",04,673
"2023 - 2024",DIV,"Bedford County Public Schools",05,662
"2023 - 2024",DIV,"Bedford County Public Schools",06,648
"2023 - 2024",DIV,"Bedford County Public Schools",07,680
"2023 - 2024",DIV,"Bedford County Public Schools",08,681
"2023 - 2024",DIV,"Bedford County Public Schools",09,721
"2023 - 2024",DIV,"Bedford County Public Schools",10,744
"2023 - 2024",DIV,"Bedford County Public Schools",11,702
"2023 - 2024",DIV,"Bedford County Public Schools",12,740
"2023 - 2024",DIV,"Bland County Public Schools",,793
"2023 - 2024",DIV,"Bland County Public Schools",PK,12
"2023 - 2024",DIV,"Bland County Public Schools",KG,35
"2023 - 2024",DIV,"Bland County Public Schools",01,60
"2023 - 2024",DIV,"Bland County Public Schools",02,44
"2023 - 2024",DIV,"Bland County Public Schools",03,53
"2023 - 2024",DIV,"Bland County Public Schools",04,52
"2023 - 2024",DIV,"Bland County Public Schools",05,53
"2023 - 2024",DIV,"Bland County Public Schools",06,48
"2023 - 2024",DIV,"Bland County Public Schools",07,181
"2023 - 2024",DIV,"Bland County Public Schools",08,41
"2023 - 2024",DIV,"Bland County Public Schools",09,53
"2023 - 2024",DIV,"Bland County Public Schools",10,61
"2023 - 2024",DIV,"Bland County Public Schools",11,57
"2023 - 2024",DIV,"Bland County Public Schools",12,43
"2023 - 2024",DIV,"Botetourt County Public Schools",,4488
"2023 - 2024",DIV,"Botetourt County Public Schools",PK,117
"2023 - 2024",DIV,"Botetourt County Public Schools",KG,300
"2023 - 2024",DIV,"Botetourt County Public Schools",01,308
"2023 - 2024",DIV,"Botetourt County Public Schools",02,356
"2023 - 2024",DIV,"Botetourt County Public Schools",03,299
"2023 - 2024",DIV,"Botetourt County Public Schools",04,326
"2023 - 2024",DIV,"Botetourt County Public Schools",05,315
"2023 - 2024",DIV,"Botetourt County Public Schools",06,334
"2023 - 2024",DIV,"Botetourt County Public Schools",07,346
"2023 - 2024",DIV,"Botetourt County Public Schools",08,343
"2023 - 2024",DIV,"Botetourt County Public Schools",09,374
"2023 - 2024",DIV,"Botetourt County Public Schools",10,351
"2023 - 2024",DIV,"Botetourt County Public Schools",11,369
"2023 - 2024",DIV,"Botetourt County Public Schools",12,350
"2023 - 2024",DIV,"Bristol City Public Schools",,2154
"2023 - 2024",DIV,"Bristol City Public Schools",PK,104
"2023 - 2024",DIV,"Bristol City Public Schools",KG,150
"2023 - 2024",DIV,"Bristol City Public Schools",01,164
"2023 - 2024",DIV,"Bristol City Public Schools",02,176
"2023 - 2024",DIV,"Bristol City Public Schools",03,155
"2023 - 2024",DIV,"Bristol City Public Schools",04,171
"2023 - 2024",DIV,"Bristol City Public Schools",05,151
"2023 - 2024",DIV,"Bristol City Public Schools",06,148
"2023 - 2024",DIV,"Bristol City Public Schools",07,154
"2023 - 2024",DIV,"Bristol City Public Schools",08,156
"2023 - 2024",DIV,"Bristol City Public Schools",09,161
"2023 - 2024",DIV,"Bristol City Public Schools",10,173
