Year,GEO_ID,CountyName,StateName,StateCode,CountyCode,TotalEstimate,TotalMargin
2018,0500000US51017,Bath County,Virginia,51,17,46137,2875
2018,0500000US51670,Hopewell city,Virginia,51,670,40497,3873
2018,0500000US51700,Newport News city,Virginia,51,700,51884,1249
2018,0500000US51069,Frederick County,Virginia,51,69,73250,2263
2018,0500000US51680,Lynchburg city,Virginia,51,680,43374,1665
2018,0500000US51199,York County,Virginia,51,199,90367,3142
2018,0500000US51690,Martinsville city,Virginia,51,690,33224,3916
2018,0500000US51125,Nelson County,Virginia,51,125,62446,7444
2018,0500000US51143,Pittsylvania County,Virginia,51,143,45382,2056
2018,0500000US51530,Buena Vista city,Virginia,51,530,34273,9808
2018,0500000US51610,Falls Church city,Virginia,51,610,124796,15295
2018,0500000US51730,Petersburg city,Virginia,51,730,36135,1580
2018,0500000US51735,Poquoson city,Virginia,51,735,96831,4475
2018,0500000US51600,Fairfax city,Virginia,51,600,111574,7598
2018,0500000US51820,Waynesboro city,Virginia,51,820,45738,4299
2018,0500000US51770,Roanoke city,Virginia,51,770,43028,1367
2018,0500000US51800,Suffolk city,Virginia,51,800,70664,2173
2018,0500000US51710,Norfolk city,Virginia,51,710,49146,990
2018,0500000US51041,Chesterfield County,Virginia,51,41,80214,1216
2018,0500000US51059,Fairfax County,Virginia,51,59,121133,1144
2018,0500000US51093,Isle of Wight County,Virginia,51,93,71376,3787
2018,0500000US51620,Franklin city,Virginia,51,620,40375,6482
2018,0500000US51678,Lexington city,Virginia,51,678,36466,7238
2018,0500000US51089,Henry County,Virginia,51,89,36683,1839
2018,0500000US51101,King William County,Virginia,51,101,68720,4657
2018,0500000US51109,Louisa County,Virginia,51,109,59343,4020
2018,0500000US51147,Prince Edward County,Virginia,51,147,46189,4053
2018,0500000US51165,Rockingham County,Virginia,51,165,59817,1844
2018,0500000US51181,Surry County,Virginia,51,181,54844,4834
2018,0500000US51043,Clarke County,Virginia,51,43,77936,6550
2018,0500000US51117,Mecklenburg County,Virginia,51,117,42025,2464
2018,0500000US51015,Augusta County,Virginia,51,15,61305,1784
2018,0500000US51075,Goochland County,Virginia,51,75,89741,7343
2018,0500000US51113,Madison County,Virginia,51,113,54197,4437
2018,0500000US51161,Roanoke County,Virginia,51,161,65467,2229
2018,0500000US51025,Brunswick County,Virginia,51,25,41927,3130
2018,0500000US51131,Northampton County,Virginia,51,131,43553,4273
2018,0500000US51163,Rockbridge County,Virginia,51,163,54805,4086
2018,0500000US51720,Norton city,Virginia,51,720,28071,6418
2018,0500000US51570,Colonial Heights city,Virginia,51,570,53716,5085
2018,0500000US51021,Bland County,Virginia,51,21,50511,4943
2018,0500000US51023,Botetourt County,Virginia,51,23,68410,3438
2018,0500000US51520,Bristol city,Virginia,51,520,37904,2685
2018,0500000US51830,Williamsburg city,Virginia,51,830,56163,6110
2018,0500000US51035,Carroll County,Virginia,51,35,43532,2276
2018,0500000US51191,Washington County,Virginia,51,191,46262,1583
2018,0500000US51139,Page County,Virginia,51,139,47951,3979
2018,0500000US51510,Alexandria city,Virginia,51,510,96733,1933
2018,0500000US51650,Hampton city,Virginia,51,650,54550,1491
2018,0500000US51013,Arlington County,Virginia,51,13,117374,2067
2018,0500000US51027,Buchanan County,Virginia,51,27,30806,2381
2018,0500000US51179,Stafford County,Virginia,51,179,106773,3208
2018,0500000US51760,Richmond city,Virginia,51,760,45117,1265
2018,0500000US51057,Essex County,Virginia,51,57,52681,2936
2018,0500000US51185,Tazewell County,Virginia,51,185,40978,1974
2018,0500000US51685,Manassas Park city,Virginia,51,685,80667,7690
2018,0500000US51183,Sussex County,Virginia,51,183,45801,3896
2018,0500000US51683,Manassas city,Virginia,51,683,78462,3991
2018,0500000US51775,Salem city,Virginia,51,775,57185,3326
2018,0500000US51037,Charlotte County,Virginia,51,37,39212,2751
2018,0500000US51081,Greensville County,Virginia,51,81,44534,7545
2019,0500000US51181,Surry County,Virginia,51,181,57962,4803
2019,0500000US51043,Clarke County,Virginia,51,43,80026,7504
2019,0500000US51117,Mecklenburg County,Virginia,51,117,43207,3636
2019,0500000US51015,Augusta County,Virginia,51,15,62711,2088
2019,0500000US51075,Goochland County,Virginia,51,75,93994,7165
2019,0500000US51113,Madison County,Virginia,51,113,57895,4788
2019,0500000US51161,Roanoke County,Virginia,51,161,68948,2007
2019,0500000US51025,Brunswick County,Virginia,51,25,44434,3005
2019,0500000US51131,Northampton County,Virginia,51,131,47227,4234
2019,0500000US51163,Rockbridge County,Virginia,51,163,54600,3809
2019,0500000US51720,Norton city,Virginia,51,720,29000,7753
2019,0500000US51570,Colonial Heights city,Virginia,51,570,54550,4946
2019,0500000US51021,Bland County,Virginia,51,21,48531,5553
2019,0500000US51023,Botetourt County,Virginia,51,23,71110,2521
2019,0500000US51520,Bristol city,Virginia,51,520,37500,3053
2019,0500000US51830,Williamsburg city,Virginia,51,830,57463,5298
2019,0500000US51035,Carroll County,Virginia,51,35,44835,3148
2019,0500000US51191,Washington County,Virginia,51,191,48495,3589
2019,0500000US51139,Page County,Virginia,51,139,51792,3898
2019,0500000US51510,Alexandria city,Virginia,51,510,100939,2888
2019,0500000US51650,Hampton city,Virginia,51,650,56287,1252
2019,0500000US51013,Arlington County,Virginia,51,13,120071,2064
2019,0500000US51027,Buchanan County,Virginia,51,27,31956,2650
2019,0500000US51179,Stafford County,Virginia,51,179,111108,2778
2019,0500000US51760,Richmond city,Virginia,51,760,47250,1316
2019,0500000US51057,Essex County,Virginia,51,57,51954,5555
2019,0500000US51185,Tazewell County,Virginia,51,185,42099,2914
2019,0500000US51685,Manassas Park city,Virginia,51,685,88046,8779
2019,0500000US51183,Sussex County,Virginia,51,183,49487,3717
